snippet_idx,issue,code
0,1,return false [SEP] override [SEP] protected void append final logging event logging event log add logging event
1,0,unless required by applicable law or agreed to in writing software distributed under the license is distributed on an as is basis without [SEP] warranties or conditions of any kind either express or implied see the [SEP] license for the specific language governing permissions and limitations under the license
2,0,override public int compare scheduled future task o1 scheduled future task o2 return o1 compare to o2 [SEP]  [SEP] priority queue scheduled future task scheduled task queue
3,0,ha communication life start [SEP] override [SEP] public synchronized void stop throws throwable ha communication life stop
4,0,create a new instance [SEP] param parent the link channel which is the parent of this link nio sctp channel [SEP] or code null param id the id to use for this instance or code null if a new once should be generated
5,0,licensed to elasticsearch under one or more contributor [SEP] license agreements see the notice file distributed with [SEP] this work for additional information regarding copyright ownership elasticsearch licenses this file to you under the apache license version 2 0 the license you may
6,0,void record latency sensor sensor long start ns long end ns [SEP] add a throughput sensor this is equivalent to adding a sensor with metrics rate [SEP] param scope name name of the scope could be the type of the state store etc param entity name name of the entity could be the name of the state store instance etc
7,0,package org elasticsearch common logging [SEP] import org apache logging log4j log manager [SEP] import org apache logging log4j logger import org apache logging log4j spi extended logger
8,0,called with a map of all registered filter factories [SEP]  [SEP] void add references map string token filter factory factories
9,1,assert null radix row assert equals integer max value buffer length row assert null decimal precision row [SEP] assert equals type class nullable row get class [SEP] assert equals type class sql data type row get class assert equals type class sql data type sub row get class
10,1,public static void validate jwk rsa final string config key jwk set hmac [SEP] final rsa key jwk rsa [SEP] final list string allowed signature algorithms final list string allowed signature algorithms rsa filter
11,1,import org elasticsearch action admin indices create create index response import org elasticsearch action admin indices get get index response import org elasticsearch action admin indices rollover rollover response [SEP] import org elasticsearch common settings settings [SEP] import org elasticsearch plugins plugin import org elasticsearch test es integ test case import org elasticsearch xpack core local state composite x pack plugin
12,1,timeout duration retry backoff ms catch exception e [SEP] throw new connect exception failed to read offsets for topic partitions e [SEP] 
13,1,descriptors collections unmodifiable list descriptors set relationship relationships new hash set [SEP] relationships add all shared relationships [SEP] relationships add rel failure relationships collections unmodifiable set relationships
14,1,web socket extension data equal fallback and return fallback extension mock any times replay fallback handshaker mock [SEP] expect main extension mock rsv and return web socket extension rsv1 any times [SEP] replay main extension mock expect fallback extension mock rsv and return web socket extension rsv1 any times
15,0,new storage blob write option storage blob write option does not exist new storage blob write option 0 final write channel write channel socket access [SEP] do privileged io exception client writer blob info write options [SEP] streams copy input stream channels new output stream new writable byte channel override public boolean is open
16,1,p see repository documentation for more information [SEP] param source repository specific snapshot settings [SEP] return this request public mount searchable snapshot request settings map string object source
17,0,private static k v map k v map of k k1 v v1 k k2 v v2 k k3 v v3 [SEP] map k v map new hash map [SEP] map put k1 v1 map put k2 v2 map put k3 v3
18,0,import org apache kafka clients consumer consumer records import org apache kafka clients consumer kafka consumer import org apache kafka common kafka exception [SEP] import org apache kafka common topic id partition [SEP] import org apache kafka common topic partition import org apache kafka server log remote metadata storage serialization remote log metadata serde import org apache kafka server log remote storage remote log metadata
19,1,state created store builder windows [SEP] session windows [SEP] session merger state created true processors add stateful processor node
20,0,try uri uri url to uri string path uri get path null uri get path [SEP] batch delete requests [SEP] if path contains container false return
21,0,import org apache logging log4j log manager import org apache logging log4j message parameterized message import org apache lucene analysis analyzer [SEP] import org apache lucene analysis delegating analyzer wrapper [SEP] import org elasticsearch assertions import org elasticsearch cluster metadata index meta data import org elasticsearch cluster metadata mapping meta data
22,1,note these values can both be non volatile since it s ok to read a stale value per doc id we serialize changes in the engine that will prevent concurrent updates to the same document id and therefore we can rely on the happens before guanratee of the map reference itself [SEP] private boolean unsafe [SEP] private final atomic long min delete timestamp new atomic long long max value private version lookup map bytes ref version value map
23,0,this request cache clone request cache this cluster alias clone cluster alias this allow partial search results clone allow partial search results [SEP] this can return null response if match no docs clone can return null response if match no docs [SEP] this bottom sort values clone bottom sort values this original indices clone original indices this reader id clone reader id
24,1,return null [SEP]  [SEP] override public void close
25,1,frame write byte http20draft10 flag end headers http20draft10 flag pad high http20draft10 flag pad low frame write int expected stream id 0x7fffffff [SEP] frame write byte padding length 256 [SEP] frame write byte padding length 256 frame write header block header block size frame write padding
26,0,the admin client configuration class which also contains constants for configuration entry names [SEP] public class admin client config extends abstract config [SEP] private static final config def config
27,1,int search key search search cursor b tree node from inclusive key key count pos key search position of search [SEP] todo if we don t have unique keys we cannot make this assumption [SEP] but instead we d need to go to the previous child if is internal key search is hit search
28,0,hash prefix and determining the algorithm used for its generation if no specific algorithm prefix can be determined code hasher noop is returned [SEP] param hash the char array from which the hashing algorithm is to be deduced [SEP] return the hasher that can be used for validation public static hasher resolve from hash char hash
29,0,no op [SEP] override [SEP] public string target message class return silent updates message class get simple name
