snippet_idx,persona_row_id,k,combo_id,combo_attrs,combo_values,Gender,Race,Ethnicity,Nationality,Culture,NativeLanguage,AgeRange,ReviewStyle,Role,Goal,Seniority,Domain,Priority,Standard,Module,ground_truth,predicted_label,raw_response
0,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
1,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
2,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
3,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
4,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
5,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
6,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
7,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
8,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
9,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
10,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
11,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
12,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
13,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
14,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
15,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
16,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
17,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
18,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
19,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
20,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
21,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
22,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
23,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
24,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,0,LABEL: 0
25,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,1,LABEL: 1
26,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
27,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,1,1,LABEL: 1
28,1,3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,NonBinary,Latino,WhiteIrish,,,,,,,,,,,,,0,0,LABEL: 0
