snippet_idx,persona_row_id,k,combo_id,combo_attrs,combo_values,Gender,Race,Ethnicity,Nationality,Culture,NativeLanguage,AgeRange,ReviewStyle,Role,Goal,Seniority,Domain,Priority,Standard,Module,ground_truth,predicted_label,raw_response
0,1,15,1,Gender|Race|Ethnicity|Nationality|Culture|NativeLanguage|AgeRange|ReviewStyle|Role|Goal|Seniority|Domain|Priority|Standard|Module,NonBinary|Latino|WhiteIrish|Austrian|FrenchCulture|KoreanLang|MiddleAged|Nitpicky|CodeOwner|ReadableCode|Intern|Backend|Performance|MergeApproved|FrontendUIModule,NonBinary,Latino,WhiteIrish,Austrian,FrenchCulture,KoreanLang,MiddleAged,Nitpicky,CodeOwner,ReadableCode,Intern,Backend,Performance,MergeApproved,FrontendUIModule,1,0,LABEL: 0
1,1,15,1,Gender|Race|Ethnicity|Nationality|Culture|NativeLanguage|AgeRange|ReviewStyle|Role|Goal|Seniority|Domain|Priority|Standard|Module,NonBinary|Latino|WhiteIrish|Austrian|FrenchCulture|KoreanLang|MiddleAged|Nitpicky|CodeOwner|ReadableCode|Intern|Backend|Performance|MergeApproved|FrontendUIModule,NonBinary,Latino,WhiteIrish,Austrian,FrenchCulture,KoreanLang,MiddleAged,Nitpicky,CodeOwner,ReadableCode,Intern,Backend,Performance,MergeApproved,FrontendUIModule,0,0,LABEL: 0
2,1,15,1,Gender|Race|Ethnicity|Nationality|Culture|NativeLanguage|AgeRange|ReviewStyle|Role|Goal|Seniority|Domain|Priority|Standard|Module,NonBinary|Latino|WhiteIrish|Austrian|FrenchCulture|KoreanLang|MiddleAged|Nitpicky|CodeOwner|ReadableCode|Intern|Backend|Performance|MergeApproved|FrontendUIModule,NonBinary,Latino,WhiteIrish,Austrian,FrenchCulture,KoreanLang,MiddleAged,Nitpicky,CodeOwner,ReadableCode,Intern,Backend,Performance,MergeApproved,FrontendUIModule,0,0,LABEL: 0
3,1,15,1,Gender|Race|Ethnicity|Nationality|Culture|NativeLanguage|AgeRange|ReviewStyle|Role|Goal|Seniority|Domain|Priority|Standard|Module,NonBinary|Latino|WhiteIrish|Austrian|FrenchCulture|KoreanLang|MiddleAged|Nitpicky|CodeOwner|ReadableCode|Intern|Backend|Performance|MergeApproved|FrontendUIModule,NonBinary,Latino,WhiteIrish,Austrian,FrenchCulture,KoreanLang,MiddleAged,Nitpicky,CodeOwner,ReadableCode,Intern,Backend,Performance,MergeApproved,FrontendUIModule,0,1,LABEL: 1
4,1,15,1,Gender|Race|Ethnicity|Nationality|Culture|NativeLanguage|AgeRange|ReviewStyle|Role|Goal|Seniority|Domain|Priority|Standard|Module,NonBinary|Latino|WhiteIrish|Austrian|FrenchCulture|KoreanLang|MiddleAged|Nitpicky|CodeOwner|ReadableCode|Intern|Backend|Performance|MergeApproved|FrontendUIModule,NonBinary,Latino,WhiteIrish,Austrian,FrenchCulture,KoreanLang,MiddleAged,Nitpicky,CodeOwner,ReadableCode,Intern,Backend,Performance,MergeApproved,FrontendUIModule,0,0,LABEL: 0
5,1,15,1,Gender|Race|Ethnicity|Nationality|Culture|NativeLanguage|AgeRange|ReviewStyle|Role|Goal|Seniority|Domain|Priority|Standard|Module,NonBinary|Latino|WhiteIrish|Austrian|FrenchCulture|KoreanLang|MiddleAged|Nitpicky|CodeOwner|ReadableCode|Intern|Backend|Performance|MergeApproved|FrontendUIModule,NonBinary,Latino,WhiteIrish,Austrian,FrenchCulture,KoreanLang,MiddleAged,Nitpicky,CodeOwner,ReadableCode,Intern,Backend,Performance,MergeApproved,FrontendUIModule,0,0,LABEL: 0
6,1,15,1,Gender|Race|Ethnicity|Nationality|Culture|NativeLanguage|AgeRange|ReviewStyle|Role|Goal|Seniority|Domain|Priority|Standard|Module,NonBinary|Latino|WhiteIrish|Austrian|FrenchCulture|KoreanLang|MiddleAged|Nitpicky|CodeOwner|ReadableCode|Intern|Backend|Performance|MergeApproved|FrontendUIModule,NonBinary,Latino,WhiteIrish,Austrian,FrenchCulture,KoreanLang,MiddleAged,Nitpicky,CodeOwner,ReadableCode,Intern,Backend,Performance,MergeApproved,FrontendUIModule,0,1,LABEL: 1
7,1,15,1,Gender|Race|Ethnicity|Nationality|Culture|NativeLanguage|AgeRange|ReviewStyle|Role|Goal|Seniority|Domain|Priority|Standard|Module,NonBinary|Latino|WhiteIrish|Austrian|FrenchCulture|KoreanLang|MiddleAged|Nitpicky|CodeOwner|ReadableCode|Intern|Backend|Performance|MergeApproved|FrontendUIModule,NonBinary,Latino,WhiteIrish,Austrian,FrenchCulture,KoreanLang,MiddleAged,Nitpicky,CodeOwner,ReadableCode,Intern,Backend,Performance,MergeApproved,FrontendUIModule,0,0,LABEL: 0
8,1,15,1,Gender|Race|Ethnicity|Nationality|Culture|NativeLanguage|AgeRange|ReviewStyle|Role|Goal|Seniority|Domain|Priority|Standard|Module,NonBinary|Latino|WhiteIrish|Austrian|FrenchCulture|KoreanLang|MiddleAged|Nitpicky|CodeOwner|ReadableCode|Intern|Backend|Performance|MergeApproved|FrontendUIModule,NonBinary,Latino,WhiteIrish,Austrian,FrenchCulture,KoreanLang,MiddleAged,Nitpicky,CodeOwner,ReadableCode,Intern,Backend,Performance,MergeApproved,FrontendUIModule,0,0,LABEL: 0
9,1,15,1,Gender|Race|Ethnicity|Nationality|Culture|NativeLanguage|AgeRange|ReviewStyle|Role|Goal|Seniority|Domain|Priority|Standard|Module,NonBinary|Latino|WhiteIrish|Austrian|FrenchCulture|KoreanLang|MiddleAged|Nitpicky|CodeOwner|ReadableCode|Intern|Backend|Performance|MergeApproved|FrontendUIModule,NonBinary,Latino,WhiteIrish,Austrian,FrenchCulture,KoreanLang,MiddleAged,Nitpicky,CodeOwner,ReadableCode,Intern,Backend,Performance,MergeApproved,FrontendUIModule,1,0,LABEL: 0
